"Rang";"Name";"Runde";"Datum";"Uhrzeit";"Stadion";"Spiel";"Tipp";"Resultat";"Punkte"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"11.06.2026";"19:00";"Mexico-City-Stadion";"Mexiko vs Südafrika";"2:1";"2:0";"6"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"12.06.2026";"02:00";"Guadalajara-Stadion";"Südkorea vs Tschechien";"1:0";"2:1";"8"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"12.06.2026";"19:00";"Toronto-Stadion";"Kanada vs Bosnien-Herzeg.";"2:1";"1:1";"1"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"13.06.2026";"01:00";"Los-Angeles-Stadion";"USA vs Paraguay";"2:1";"4:1";"6"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"13.06.2026";"19:00";"San-Francisco-Bay-Area-Stadion";"Katar vs Schweiz";"0:2";"1:1";"0"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"13.06.2026";"22:00";"New-York-New-Jersey-Stadion";"Brasilien vs Marokko";"2:1";"1:1";"1"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"01:00";"Boston-Stadion";"Haiti vs Schottland";"0:1";"0:1";"10"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"04:00";"BC Place Vancouver";"Australien vs Türkei";"1:1";"2:0";"0"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"17:00";"Houston-Stadion";"Deutschland vs Curaçao";"4:0";"7:1";"5"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"20:00";"Dallas-Stadion";"Niederlande vs Japan";"2:1";"2:2";"1"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"14.06.2026";"23:00";"Philadelphia-Stadion";"Elfenbeinküste vs Ecuador";"1:2";"1:0";"1"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"02:00";"Monterrey-Stadion";"Schweden vs Tunesien";"2:1";"5:1";"6"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"16:00";"Atlanta-Stadion";"Spanien vs Kap Verde";"5:0";"0:0";"1"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"19:00";"Seattle-Stadion";"Belgien vs Ägypten";"2:1";"1:1";"1"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"15.06.2026";"22:00";"Miami-Stadion";"Saudi-Arabien vs Uruguay";"0:2";"1:1";"0"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"16.06.2026";"01:00";"Los-Angeles-Stadion";"Iran vs Neuseeland";"1:1";"2:2";"8"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"16.06.2026";"19:00";"New-York-New-Jersey-Stadion";"Frankreich vs Senegal";"3:1";"3:1";"10"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"16.06.2026";"22:00";"Boston-Stadion";"Irak vs Norwegen";"0:2";"1:4";"5"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"01:00";"Kansas-City-Stadion";"Argentinien vs Algerien";"3:0";"3:0";"10"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"04:00";"San-Francisco-Bay-Area-Stadion";"Österreich vs Jordanien";"3:0";"3:1";"6"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"17:00";"Houston-Stadion";"Portugal vs DR Kongo";"4:0";"1:1";"0"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"20:00";"Dallas-Stadion";"England vs Kroatien";"2:1";"4:2";"5"
"1";"Alessio C";"1. Runde (11. Juni - 18. Juni)";"17.06.2026";"23:00";"Toronto-Stadion";"Ghana vs Panama";"2:0";"1:0";"6"
