Nation,Position,Name,Jahrgang,Verein,Länderspiele
Algerien,GK,Melvin Mastil,2000,FC Stade Nyonnais,2
Algerien,DF,Aissa Mandi,1991,Lille OSC,120
Algerien,DF,Achref Abada,1999,USM Alger,10
Algerien,DF,Mohamed Amine Tougai,2000,Espérance de Tunisie,30
Algerien,DF,Zineddine Belaïd,1999,JS Kabylie,18
Algerien,MF,Ramiz Zerrouki,1998,FC Twente,54
Algerien,FW,Riyad Mahrez,1991,Al Ahli FC,117
Algerien,MF,Houssem Aouar,1998,Al Ittihad,24
Algerien,FW,Amine Gouiri,2000,Olympique Marseille,24
Algerien,MF,Fares Chaibi,2002,Eintracht Frankfurt,32
Algerien,FW,Anis Hadj Moussa,2002,Feyenoord Rotterdam,16
Algerien,FW,Nadhir Benbouali,2000,Györi ETO FC,4
Algerien,DF,Jaouen Hadjam,2003,BSC Young Boys,18
Algerien,MF,Hicham Boudaoui,1999,OGC Nice,35
Algerien,DF,Rayan Aït-Nouri,2001,Manchester City FC,31
Algerien,GK,Oussama Benbot,1994,USM Alger,3
Algerien,DF,Rak Belghali,2002,Hellas Verona FC,14
Algerien,FW,Mohammed Amoura,2000,VfL Wolfsburg,48
Algerien,MF,Nabil Bentaleb,1994,Lille OSC,61
Algerien,FW,Adil Boulbina,2003,Al Duhail SC,12
Algerien,DF,Ramy Bensebaini,1995,Borussia Dortmund,83
Algerien,MF,Ibrahim Maza,2005,Bayer 04 Leverkusen,18
Algerien,GK,Luca Zidane,1998,Granada CF,8
Algerien,MF,Yassine Titraoui,2003,Sporting Charleroi,5
Algerien,FW,Fares Ghedjemis,2002,Frosinone,1
Algerien,DF,Samir Chergui,1999,Paris FC,5
Argentinien,GK,Juan Musso,1994,Atlético de Madrid,4
Argentinien,DF,Marcos Senesi,1997,AFC Bournemouth,3
Argentinien,DF,Nicolás Tagliafico,1992,Olympique Lyonnais,76
Argentinien,DF,Gonzalo Montiel,1997,CA River Plate,40
Argentinien,MF,Leandro Paredes,1994,CA Boca Juniors,77
Argentinien,DF,Lisandro Martínez,1998,Manchester United FC,29
Argentinien,MF,Rodrigo De Paul,1994,Inter Miami CF,88
Argentinien,MF,Valentin Barco,2004,RC Strasbourg,4
Argentinien,FW,Julián Álvarez,2000,Atlético de Madrid,52
Argentinien,FW,Lionel Messi,1987,Inter Miami CF,200
Argentinien,MF,Giovani Lo Celso,1996,Real Betis,67
Argentinien,GK,Gerónimo Rulli,1992,Olympique Marseille,8
Argentinien,DF,Cristian Romero,1998,Tottenham Hotspur FC,52
